Frequencia,tempo
252.00,238
200.00,537
201.00,835
201.00,1133
201.00,1133
200.00,1432
201.00,1730
201.00,2028
201.00,2326
201.00,2326
201.00,2624
201.00,2624
201.00,2922
201.00,2922
201.00,3220
201.00,3518
201.00,3518
201.00,3816
201.00,3816
201.00,4114
201.00,4412
201.00,4412
201.00,4710
200.00,5009
201.00,5307
200.00,5606
200.00,5606
201.00,5904
200.00,6203
201.00,6501
201.00,6501
201.00,6799
201.00,6799
200.00,7098
201.00,7396
200.00,7695
201.00,7993
201.00,7993
201.00,8291
201.00,8291
200.00,8590
200.00,8590
201.00,8888
201.00,9186
201.00,9186
201.00,9484
201.00,9484
200.00,9783
200.00,9783
201.00,10081
201.00,10379
201.00,10379
200.00,10678
201.00,10976
201.00,10976
201.00,11274
201.00,11274
201.00,11572
201.00,11870
200.00,12169
200.00,12169
201.00,12467
201.00,12765
201.00,12765
201.00,13063
201.00,13063
200.00,13362
201.00,13660
201.00,13958
200.00,14257
200.00,14556
201.00,14854
201.00,15152
201.00,15152
200.00,15451
201.00,15749
201.00,15749
201.00,16047
201.00,16345
200.00,16644
201.00,16942
201.00,16942
201.00,17240
201.00,17240
201.00,17538
201.00,17836
200.00,18135
200.00,18135
201.00,18433
200.00,18732
201.00,19030
200.00,19329
200.00,19329
201.00,19627
202.00,19924
202.00,19924
201.00,20222
201.00,20222
201.00,20520
200.00,20819
201.00,21117
200.00,21416
201.00,21714
201.00,22012
200.00,22311
200.00,22311
200.00,22610
201.00,22908
201.00,22908
201.00,23206
201.00,23206
200.00,23505
201.00,23803
200.00,24102
201.00,24400
201.00,24698
201.00,24698
200.00,24997
201.00,25295
201.00,25593
200.00,25892
201.00,26190
200.00,26489
200.00,26489
201.00,26787
201.00,27085
200.00,27384
201.00,27682
201.00,27682
201.00,27980
201.00,28278
201.00,28278
200.00,28577
200.00,28577
201.00,28875
201.00,29173
200.00,29472
201.00,29770
201.00,29770
201.00,30068
201.00,30068
201.00,30366
201.00,30366
201.00,30664
200.00,30963
201.00,31261
201.00,31261
201.00,31559
200.00,31858
200.00,31858
201.00,32156
201.00,32156
201.00,32454
201.00,32752
201.00,33050
200.00,33349
201.00,33647
201.00,33647
201.00,33945
200.00,34244
201.00,34542
200.00,34841
201.00,35139
201.00,35139
200.00,35438
200.00,35438
201.00,35736
201.00,36034
200.00,36333
201.00,36631
200.00,36930
201.00,37228
201.00,37228
201.00,37526
200.00,37825
201.00,38123
201.00,38421
200.00,38720
200.00,38720
201.00,39018
201.00,39018
201.00,39316
200.00,39615
201.00,39913
200.00,40212
201.00,40510
201.00,40808
200.00,41107
201.00,41405
200.00,41704
200.00,41704
201.00,42002
201.00,42300
201.00,42300
201.00,42598
201.00,42598
201.00,42896
200.00,43195
200.00,43195
201.00,43493
200.00,43792
201.00,44090
200.00,44389
200.00,44389
201.00,44687
201.00,44687
200.00,44986
200.00,44986
201.00,45284
200.00,45583
201.00,45881
200.00,46180
200.00,46180
201.00,46478
200.00,46777
201.00,47075
200.00,47374
201.00,47672
201.00,47672
201.00,47970
200.00,48269
201.00,48567
200.00,48866
201.00,49164
200.00,49463
200.00,49762
200.00,49762
201.00,50060
200.00,50359
201.00,50657
200.00,50956
201.00,51254
200.00,51553
200.00,51852
200.00,51852
201.00,52150
200.00,52449
201.00,52747
201.00,52747
201.00,53045
200.00,53344
200.00,53344
201.00,53642
200.00,53941
200.00,54240
201.00,54538
201.00,54538
200.00,54837
201.00,55135
200.00,55434
201.00,55732
200.00,56031
200.00,56330
201.00,56628
201.00,56628
201.00,56926
201.00,57224
200.00,57523
200.00,57822
201.00,58120
201.00,58120
200.00,58419
201.00,58717
200.00,59016
201.00,59314
201.00,59314
201.00,59612
201.00,59612
201.00,59910
200.00,60209
200.00,60209
201.00,60507
